Name,Team,NOC,Games,City,Sport,Event,Medal
A. Albert,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,Paris,Rugby,Rugby Men's Rugby,Gold
Aage Jrgen Christian Andersen,Denmark,DEN,1906 Summer,Athina,Football,Football Men's Football,Gold
Aage Valdemar Harald Frandsen,Denmark,DEN,1920 Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
"Aagje ""Ada"" Kok (-van der Linden)",Netherlands,NED,1968 Summer,Mexico City,Swimming,Swimming Women's 200 metres Butterfly,Gold
"Aale Maria Tynni (-Pirinen, -Haavio)",Finland,FIN,1948 Summer,London,Art Competitions,"Art Competitions Mixed Literature, Lyric Works",Gold
Aaron Nguimbat,Cameroon,CMR,2000 Summer,Sydney,Football,Football Men's Football,Gold
Aaron Nigel Armstrong,Trinidad and Tobago,TTO,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Aaron Wells Peirsol,United States,USA,2004 Summer,Athina,Swimming,Swimming Men's 100 metres Backstroke,Gold
Aaron Wells Peirsol,United States,USA,2004 Summer,Athina,Swimming,Swimming Men's 200 metres Backstroke,Gold
Aaron Wells Peirsol,United States,USA,2004 Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Aaron Wells Peirsol,United States,USA,2008 Summer,Beijing,Swimming,Swimming Men's 100 metres Backstroke,Gold
Aaron Wells Peirsol,United States,USA,2008 Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Aavo Pikkuus,Soviet Union,URS,1976 Summer,Montreal,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
aban Trstena,Yugoslavia,YUG,1984 Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Freestyle",Gold
Abas Arslanagi,Yugoslavia,YUG,1972 Summer,Munich,Handball,Handball Men's Handball,Gold
Abbey Weitzeil,United States,USA,2016 Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Abdon Pamich,Italy,ITA,1964 Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,Gold
Abdul Hamid,Pakistan,PAK,1960 Summer,Roma,Hockey,Hockey Men's Hockey,Gold
Abdul Rashid,Pakistan,PAK,1968 Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold
Abdul Rashid Al-Hasan,Pakistan,PAK,1984 Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold
Abdul Waheed Khan,Pakistan,PAK,1960 Summer,Roma,Hockey,Hockey Men's Hockey,Gold
Abdullah Movahed Ardabili,Iran,IRI,1968 Summer,Mexico City,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Abdul-Rashid Bulayevich Sadulayev,Russia,RUS,2016 Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Abebe Bikila,Ethiopia,ETH,1960 Summer,Roma,Athletics,Athletics Men's Marathon,Gold
Abebe Bikila,Ethiopia,ETH,1964 Summer,Tokyo,Athletics,Athletics Men's Marathon,Gold
Abel Richard Kiviat,United States,USA,1912 Summer,Stockholm,Athletics,"Athletics Men's 3,000 metres, Team",Gold
Abelardo Fernndez Antua,Spain,ESP,1992 Summer,Barcelona,Football,Football Men's Football,Gold
Abelardo Olivier,Italy,ITA,1920 Summer,Antwerpen,Fencing,"Fencing Men's Foil, Team",Gold
Abelardo Olivier,Italy,ITA,1920 Summer,Antwerpen,Fencing,"Fencing Men's epee, Team",Gold
Abhinav Bindra,India,IND,2008 Summer,Beijing,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
Abiodun Olugbemiga Obafemi,Nigeria,NGR,1996 Summer,Atlanta,Football,Football Men's Football,Gold
"Abraham Robertus ""Bram"" Lomans",Netherlands,NED,1996 Summer,Atlanta,Hockey,Hockey Men's Hockey,Gold
"Abraham Robertus ""Bram"" Lomans",Netherlands,NED,2000 Summer,Sydney,Hockey,Hockey Men's Hockey,Gold
Achille Piccini,Italy,ITA,1936 Summer,Berlin,Football,Football Men's Football,Gold
Adam David Vernon Foote,Canada,CAN,2002 Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Adam Enright,Canada,CAN,2010 Winter,Vancouver,Curling,Curling Men's Curling,Gold
Adam George Peaty,Great Britain,GBR,2016 Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Breaststroke,Gold
Adam Joseph Van Koeverden,Canada,CAN,2004 Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
Adam Khamidovich Saytiyev,Russia,RUS,2000 Summer,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
